GameID,ConsoleID
1,1
2,2
3,3
3,1
3,4
4,3
4,1
4,4
5,1
6,2
7,1
7,3
7,4
8,1
8,2
9,3
9,4
10,1
11,1
12,1
12,4
13,1
13,3
13,4
13,2
14,2
15,3
15,1
15,4
16,2
16,2
17,1
18,4
19,2
20,1
21,3
21,4
22,2
23,1
24,1
25,4
26,1
27,4
28,1
29,1
30,1
30,2
31,4
32,2
33,1
34,1
34,4
34,3
34,2
35,4
36,1
37,3
37,1
38,2
39,1
40,2
41,4
41,3
42,1
42,2
43,1
43,4
43,2
44,4
45,1
45,2
46,4
46,1
46,3
47,1
48,4
49,1
50,1
51,1
51,2
52,1
53,5
54,4
55,1
56,1
57,1
58,1
59,1
59,3
60,1
61,1
62,1
62,4
63,1
64,1
65,1
66,4
67,3
67,1
68,1
69,1
70,1
70,5
71,2
72,3
73,3
74,1
74,3
74,2
75,1
76,3
76,1
77,1
78,1
79,1
79,4
79,2
79,3
80,2
81,2
82,4
83,2
84,4
85,4
86,4
87,2
88,4
89,2
90,2
91,1
92,2
93,5
94,2
95,1
96,4
97,4
98,4
99,1
100,4
101,4
102,1
103,2
104,2
105,2
106,1
107,1
108,1
109,2
110,3
111,4
112,4
113,1
114,2
115,1
115,5
116,2
117,6
118,2
119,1
120,1
121,4
122,4
123,1
124,1
125,4
126,3
126,1
126,4
127,1
128,1
129,2
130,2
131,1
132,3
133,4
134,2
135,4
136,4
137,2
138,1
139,4
140,1
140,4
140,3
141,1
142,1
142,2
142,3
142,4
143,4
144,3
145,1
146,7
146,8
146,9
146,1
147,2
148,1
149,4
150,2
151,4
152,4
153,1
154,1
155,2
156,2
157,4
158,1
159,1
159,4
160,1
161,3
161,4
162,1
163,1
163,2
163,5
164,4
164,1
164,3
165,4
165,3
165,1
166,1
166,4
166,3
167,4
168,1
169,2
170,1
171,1
172,1
173,4
173,1
173,3
174,4
175,4
176,1
177,1
178,2
179,4
179,4
180,2
181,2
182,4
183,2
184,1
184,4
185,4
185,3
186,9
186,5
187,1
188,1
189,2
190,4
191,4
192,1
192,5
193,4
194,2
195,2
196,2
197,2
198,1
198,3
198,4
199,1
200,4
201,1
202,1
202,2
202,5
203,1
203,4
203,4
204,2
205,2
206,1
206,4
207,1
207,2
208,1
209,5
209,1
209,2
210,4
211,2
211,4
212,1
213,1
214,3
215,2
216,4
217,1
218,4
219,1
220,4
221,2
222,3
222,1
223,1
223,4
223,2
224,1
225,4
226,4
226,1
227,4
228,4
228,3
228,1
229,4
230,1
231,4
232,2
233,1
234,1
235,3
235,4
236,3
236,1
236,4
237,1
238,1
239,4
240,1
240,2
241,1
242,2
243,1
244,1
244,4
245,2
246,4
247,1
248,1
249,1
250,4
251,2
252,2
253,1
253,4
254,4
255,1
256,4
257,4
258,1
259,1
260,2
261,1
261,2
262,4
263,1
264,2
264,1
265,10
266,1
266,4
267,4
267,1
268,1
269,4
270,4
271,1
271,3
272,1
273,1
273,3
273,4
273,2
274,1
275,2
276,4
276,3
276,1
277,3
278,4
279,3
279,4
280,1
280,4
281,1
282,4
283,1
284,4
284,1
284,3
285,1
286,3
287,4
288,4
289,2
290,2
291,1
292,3
292,1
292,2
293,4
294,1
295,1
295,4
296,4
296,3
296,2
296,1
297,4
297,1
297,3
297,2
298,4
299,4
300,1
301,1
301,3
301,4
302,1
303,1
304,4
305,1
306,2
307,1
308,1
308,2
309,1
310,4
311,1
312,3
313,4
314,2
315,1
315,2
316,10
317,4
318,1
318,3
318,4
319,3
319,1
319,4
320,1
321,1
322,4
323,1
324,1
324,3
324,4
325,2
326,3
327,1
327,3
327,4
328,10
329,4
329,1
330,4
330,1
331,1
332,2
333,1
334,2
335,10
336,1
337,4
337,1
338,1
338,4
338,2
339,1
340,3
340,4
341,1
341,2
342,3
343,3
343,1
343,4
344,4
344,3
344,1
345,10
346,4
347,4
348,2
349,4
350,1
351,2
352,3
352,1
353,2
354,2
355,2
356,1
357,1
357,3
357,4
357,2
358,1
358,4
359,1
359,4
359,3
359,2
360,4
361,3
361,1
362,1
363,1
364,4
365,1
366,4
367,4
368,4
369,4
370,1
370,4
370,2
371,4
371,1
371,3
372,1
372,4
372,3
373,1
374,2
375,1
376,2
376,2
377,1
378,4
379,4
379,3
379,1
380,3
380,2
381,1
381,4
381,3
381,2
382,4
383,1
384,2
385,4
386,1
387,1
387,4
387,3
388,2
389,1
390,2
391,1
391,4
391,2
392,4
392,3
393,4
394,1
394,8
395,3
396,4
397,9
397,5
398,1
